weight,quality,color,clarity,depth,width_rel,price,x,y,z
1.46,Very Good,J,VS2,59.7,59.0,7358,7.36,7.39,4.4
0.41,Very Good,F,VS1,62.1,60.0,889,4.72,4.75,2.94
1.02,Ideal,G,SI1,62.4,55.0,5016,6.43,6.48,4.03
1.2,Very Good,J,SI2,61.8,56.0,4102,6.81,6.85,4.22
1.05,Premium,G,VVS2,59.5,61.0,8702,6.69,6.63,3.96
1.22,Ideal,I,VS1,62.3,54.0,6459,6.82,6.86,4.26
1.15,Very Good,H,VVS2,58.8,58.0,6793,6.87,6.9,4.05
0.34,Premium,E,VVS1,61.7,58.0,1084,4.48,4.43,2.75
2.0,Good,G,SI2,64.3,60.0,10416,7.87,7.83,5.05
0.52,Good,G,SI1,64.3,61.0,1147,5.01,4.97,3.21
0.33,Very Good,G,VS2,61.5,59.4,623,4.45,4.49,2.75
0.38,Ideal,H,VS1,61.1,55.0,721,4.68,4.72,2.87
2.0,Good,I,SI1,63.9,57.0,12554,8.01,7.91,5.09
0.64,Fair,I,VS2,55.3,69.0,1411,5.85,5.69,3.19
0.33,Ideal,E,VS2,61.1,55.0,738,4.47,4.51,2.74
0.41,Premium,H,SI1,62.0,59.0,876,4.8,4.78,2.97
0.32,Ideal,I,VS2,61.5,56.0,449,4.4,4.41,2.71
0.33,Premium,D,SI1,60.1,59.0,780,4.49,4.46,2.69
0.36,Ideal,D,SI1,62.8,57.0,794,4.54,4.51,2.84
1.5,Ideal,I,SI1,62.3,56.0,8371,7.35,7.41,4.6
0.8,Ideal,G,VS2,62.1,57.0,3494,5.95,6.0,3.71
2.02,Premium,I,VS1,60.5,62.0,14238,8.18,8.15,4.94
1.14,Ideal,F,I1,61.3,56.0,4124,6.76,6.74,4.13
0.54,Ideal,G,VS2,61.7,55.0,1401,5.22,5.26,3.23
0.32,Ideal,D,VS2,62.3,57.0,758,4.39,4.41,2.74
0.32,Premium,G,VS1,62.8,58.0,828,4.39,4.34,2.74
0.57,Ideal,E,VS1,60.8,54.8,2061,5.36,5.4,3.27
1.21,Premium,G,SI2,59.1,55.0,5184,7.04,6.98,4.14
0.66,Ideal,H,SI1,61.6,55.0,1936,5.63,5.66,3.48
0.36,Very Good,H,VS2,60.0,62.0,568,4.58,4.62,2.76
0.51,Very Good,G,VVS2,62.2,56.0,1762,5.1,5.13,3.18
0.82,Good,J,SI1,57.5,62.0,2033,6.2,6.25,3.58
0.9,Ideal,H,VS1,61.8,56.0,4194,6.18,6.24,3.84
1.27,Ideal,H,SI2,61.8,57.0,6403,6.93,6.96,4.29
0.54,Good,E,SI1,57.2,59.0,1323,5.37,5.32,3.06
1.7,Ideal,E,SI1,60.1,57.0,14623,7.71,7.74,4.64
1.15,Ideal,J,VS1,61.5,55.0,5152,6.81,6.76,4.17
0.71,Ideal,E,VS1,62.4,54.0,2923,5.71,5.74,3.57
0.52,Premium,F,VVS2,61.8,60.0,2870,5.16,5.13,3.18
1.7,Premium,I,VS2,61.4,59.0,11519,7.6,7.68,4.69
1.2,Very Good,G,SI2,62.6,60.0,5116,6.68,6.74,4.2
0.61,Ideal,G,IF,62.3,56.0,2800,5.43,5.45,3.39
1.19,Ideal,G,VS1,61.9,55.0,8034,6.81,6.87,4.22
0.63,Premium,F,VS2,61.0,61.0,2211,5.6,5.49,3.38
1.01,Premium,E,SI2,59.1,60.0,4412,6.57,6.55,3.88
0.33,Premium,E,VS2,61.5,59.0,928,4.46,4.42,2.73
1.25,Very Good,H,SI2,62.7,57.0,5362,6.82,6.86,4.29
0.55,Good,E,VS2,60.3,61.0,1715,5.31,5.37,3.22
1.01,Good,H,VS2,63.1,59.0,5166,6.3,6.34,3.99
0.9,Premium,G,VS2,62.1,59.0,4252,6.15,6.09,3.8
1.09,Premium,H,VS2,62.6,56.0,5601,6.62,6.55,4.12
0.31,Premium,E,SI2,60.8,61.0,558,4.43,4.39,2.68
1.07,Ideal,E,VVS2,61.3,56.0,10222,6.53,6.6,4.02
0.36,Premium,F,VS2,60.5,59.0,932,4.64,4.61,2.8
2.14,Very Good,I,VS2,59.7,57.0,16914,8.41,8.48,5.04
0.31,Good,I,VS1,63.8,56.0,628,4.32,4.27,2.74
1.01,Ideal,F,SI1,59.9,60.0,5215,6.59,6.53,3.93
0.9,Premium,F,SI2,61.9,62.0,3210,6.12,6.07,3.77
1.7,Very Good,E,VS2,58.6,62.0,18176,7.84,7.92,4.62
0.3,Premium,J,VS1,62.6,58.0,394,4.27,4.32,2.69
1.11,Premium,E,SI2,61.6,61.0,4177,6.66,6.61,4.09
0.7,Ideal,E,VVS1,61.9,56.0,5338,5.66,5.69,3.51
1.52,Premium,J,VS1,62.4,59.0,8110,7.31,7.36,4.58
1.1,Ideal,E,SI2,61.6,56.0,5174,6.64,6.61,4.08
0.56,Premium,E,SI1,62.5,59.0,1653,5.24,5.2,3.26
1.01,Premium,H,IF,62.1,59.0,6702,6.47,6.41,4.0
0.3,Good,F,SI1,63.5,59.0,500,4.19,4.22,2.67
0.41,Ideal,H,VS2,60.7,55.0,1163,4.83,4.86,2.94
0.7,Very Good,F,VVS1,63.3,56.0,3252,5.7,5.64,3.59
1.51,Premium,F,VS1,61.7,59.0,15581,7.33,7.29,4.51
0.91,Premium,E,SI1,62.2,58.0,3665,6.29,6.18,3.86
1.01,Good,F,SI1,57.4,57.0,4632,6.52,6.48,3.73
1.53,Ideal,H,SI1,61.1,57.0,10659,7.45,7.44,4.55
0.9,Very Good,G,SI2,63.2,58.0,3787,6.05,6.1,3.84
0.53,Very Good,G,SI2,60.0,56.0,1079,5.28,5.32,3.18
1.64,Fair,G,I1,64.5,60.0,4849,7.44,7.35,4.76
0.3,Ideal,G,VS1,61.7,57.0,605,4.3,4.32,2.66
1.01,Very Good,F,SI2,60.8,63.0,4017,6.38,6.32,3.86
1.2,Very Good,G,VS1,60.2,60.0,8442,6.91,7.0,4.19
0.63,Very Good,F,VS1,59.2,57.0,2149,5.56,5.66,3.32
0.55,Premium,F,SI1,60.1,58.0,1374,5.34,5.3,3.2
0.7,Fair,G,I1,64.3,62.0,956,5.59,5.49,3.57
1.03,Very Good,H,VS2,62.0,58.0,5266,6.45,6.51,4.02
1.02,Very Good,E,VS2,60.3,60.0,6103,6.58,6.48,3.94
1.07,Premium,H,SI1,63.0,57.0,5465,6.55,6.44,4.09
0.7,Good,F,SI1,63.8,60.0,2423,5.63,5.6,3.58
0.54,Ideal,H,VVS1,60.3,56.0,1944,5.33,5.28,3.2
1.02,Ideal,G,SI1,60.3,56.0,4708,6.57,6.54,3.95
0.91,Good,H,VS2,56.9,61.0,3302,6.41,6.24,3.6
0.5,Premium,I,SI2,59.8,56.0,900,5.23,5.18,3.11
1.03,Ideal,J,SI1,62.3,56.0,3893,6.51,6.45,4.04
0.5,Ideal,I,VS1,61.9,54.0,1130,5.12,5.16,3.18
0.65,Ideal,D,VS2,61.6,57.0,2402,5.55,5.59,3.43
0.4,Premium,G,VVS2,61.7,59.0,1050,4.76,4.73,2.93
0.91,Good,G,VS1,63.6,60.0,4284,6.03,6.11,3.86
1.51,Very Good,E,SI2,62.8,59.0,9058,7.24,7.31,4.57
0.57,Ideal,E,SI1,62.1,56.0,1608,5.3,5.33,3.3
1.55,Premium,H,VS1,62.6,58.0,11562,7.4,7.34,4.61
0.52,Ideal,D,VVS1,60.9,56.0,3321,5.2,5.24,3.18
0.7,Ideal,F,VS1,60.3,57.0,3359,5.74,5.79,3.47
0.77,Very Good,J,SI2,61.2,56.0,2001,5.91,5.96,3.63
0.35,Premium,E,VS2,59.5,58.0,767,4.59,4.62,2.74
1.5,Fair,G,SI2,68.5,66.0,6552,6.87,6.76,4.67
1.01,Very Good,E,VS2,58.1,60.0,6399,6.51,6.58,3.8
0.57,Very Good,J,SI1,60.6,61.0,1037,5.36,5.4,3.26
0.42,Ideal,H,IF,61.0,56.0,1213,4.82,4.79,2.93
0.3,Ideal,I,SI1,61.8,57.0,382,4.3,4.34,2.67
0.32,Premium,I,VS1,59.8,60.0,648,4.46,4.44,2.66
1.5,Good,D,SI2,62.4,61.0,8517,7.23,7.36,4.55
1.0,Fair,D,SI2,64.8,60.0,3304,6.23,6.18,4.02
0.31,Ideal,D,SI1,61.7,57.0,732,4.38,4.34,2.69
0.3,Premium,H,VS2,61.1,61.0,608,4.33,4.31,2.64
0.63,Very Good,H,VS2,61.2,59.2,1640,5.48,5.51,3.36
0.34,Good,E,SI2,63.7,55.0,477,4.43,4.46,2.83
0.4,Very Good,D,SI2,61.6,59.0,666,4.68,4.74,2.9
0.55,Ideal,D,VS2,61.4,57.0,1928,5.27,5.31,3.25
0.52,Ideal,G,VVS2,61.3,56.0,1897,5.18,5.2,3.18
1.02,Good,D,SI1,57.2,54.0,5198,6.66,6.62,3.8
0.9,Very Good,D,SI1,62.4,61.0,4693,6.13,6.17,3.84
0.38,Very Good,E,VS2,60.5,58.0,866,4.66,4.7,2.83
1.67,Very Good,I,VS1,61.6,59.1,11867,7.61,7.64,4.7
1.02,Ideal,G,VVS2,61.6,57.0,8401,6.45,6.47,3.98
1.01,Very Good,E,SI1,58.6,58.0,4766,6.52,6.58,3.84
1.14,Very Good,D,SI1,60.2,60.0,7106,6.7,6.85,4.08
2.02,Ideal,G,SI2,61.7,57.0,17265,8.15,8.1,5.01
1.21,Premium,H,VS2,61.5,58.0,6710,6.82,6.78,4.18
1.56,Good,I,SI2,58.5,61.0,8048,7.58,7.63,4.45
1.53,Ideal,G,VVS1,61.8,55.0,15992,7.43,7.45,4.59
0.99,Premium,F,VS2,62.6,55.0,5893,6.5,6.35,4.02
1.5,Very Good,G,SI1,62.2,58.0,9515,7.21,7.28,4.51
1.02,Ideal,E,SI1,62.2,54.7,5840,6.44,6.47,4.01
0.91,Good,D,SI1,63.1,61.0,4113,6.1,6.16,3.87
2.3,Very Good,I,SI2,60.6,60.0,14603,8.51,8.56,5.17
1.0,Good,I,SI1,65.6,56.0,4042,6.23,6.3,4.11
0.54,Premium,D,VS2,62.2,56.0,2009,5.27,5.21,3.26
1.29,Very Good,J,SI2,63.5,57.0,3884,6.89,6.87,4.37
0.35,Good,I,SI1,63.6,56.0,472,4.5,4.53,2.87
0.29,Ideal,G,SI1,62.1,54.0,420,4.25,4.29,2.65
0.56,Ideal,G,VS2,61.7,56.0,1698,5.34,5.3,3.28
0.41,Very Good,H,VS1,63.5,56.0,1061,4.7,4.69,2.98
0.32,Ideal,G,VVS2,62.1,54.0,708,4.4,4.42,2.74
0.74,Fair,D,VVS2,65.4,53.0,4040,5.73,5.71,3.74
1.76,Ideal,G,SI1,62.1,56.0,10896,7.69,7.77,4.8
0.41,Good,F,SI1,63.9,56.0,755,4.68,4.74,3.01
0.73,Good,E,VS1,60.8,61.0,3471,5.77,5.8,3.52
0.36,Ideal,D,VS2,61.7,55.0,1094,4.6,4.58,2.83
1.31,Premium,I,VS2,62.4,61.0,6921,6.98,6.9,4.33
0.3,Ideal,E,VS2,61.5,55.0,658,4.32,4.4,2.68
0.4,Ideal,D,VVS2,61.9,56.0,1263,4.74,4.76,2.94
0.71,Ideal,I,SI1,61.9,56.0,2660,5.71,5.74,3.54
0.3,Premium,D,VS1,60.7,58.0,848,4.36,4.34,2.64
1.28,Premium,J,SI1,61.9,56.0,5290,7.13,7.0,4.37
0.87,Very Good,G,SI2,59.9,58.0,2802,6.19,6.23,3.72
0.72,Very Good,E,SI1,60.0,57.0,2479,5.8,5.84,3.49
1.01,Premium,H,I1,60.1,58.0,2520,6.49,6.44,3.89
1.04,Ideal,E,SI2,62.0,55.0,4892,6.51,6.48,4.03
1.01,Premium,I,SI1,61.8,58.0,4185,6.45,6.37,3.96
0.3,Good,H,SI1,63.3,56.0,432,4.27,4.29,2.71
1.03,Ideal,G,VS1,63.0,56.0,6659,6.46,6.43,4.06
1.04,Ideal,I,SI1,61.2,56.0,4846,6.53,6.55,4.0
1.57,Premium,I,VVS2,60.7,58.0,11146,7.54,7.51,4.57
0.51,Ideal,E,VS2,62.1,54.0,1608,5.13,5.15,3.19
1.39,Very Good,I,VS1,62.2,57.0,7893,7.17,7.1,4.44
1.02,Premium,D,SI1,62.3,59.0,5890,6.38,6.42,3.99
0.33,Ideal,F,VS2,61.6,56.0,666,4.44,4.46,2.74
1.5,Fair,I,SI2,64.9,61.0,4704,7.14,7.09,4.62
0.74,Good,E,SI1,62.8,61.0,2906,5.74,5.76,3.61
1.18,Ideal,H,SI1,61.6,55.5,6076,6.77,6.85,4.19
0.3,Very Good,J,VS1,61.2,61.0,394,4.3,4.33,2.64
1.13,Good,G,I1,63.4,58.0,3127,6.58,6.61,4.18
0.3,Ideal,E,VVS2,61.9,59.0,766,4.27,4.3,2.65
1.81,Premium,H,SI2,62.0,60.0,11460,7.79,7.75,4.82
0.46,Ideal,E,VS1,61.7,56.0,1834,4.95,5.0,3.07
0.4,Premium,J,IF,62.7,60.0,1063,4.7,4.64,2.93
0.93,Ideal,D,SI2,62.5,55.0,3990,6.2,6.24,3.89
0.32,Good,G,VS1,57.0,62.0,628,4.51,4.54,2.58
0.31,Ideal,G,VS2,61.4,57.0,544,4.35,4.45,2.7
1.59,Ideal,H,VS1,61.8,57.0,12047,7.42,7.49,4.61
1.57,Ideal,I,VS1,62.3,57.0,10209,7.44,7.48,4.65
0.7,Fair,D,SI1,64.9,64.0,2352,5.57,5.5,3.59
1.64,Premium,I,SI2,61.3,58.0,8743,7.62,7.58,4.66
0.9,Good,E,SI2,58.7,63.0,2982,6.2,6.23,3.65
1.01,Very Good,H,SI1,58.5,56.0,4619,6.6,6.69,3.89
1.17,Fair,H,SI2,60.0,66.0,4717,6.86,6.78,4.09
0.47,Ideal,H,VS2,62.7,55.0,1058,5.08,4.95,3.15
2.12,Premium,E,SI2,62.4,58.0,13884,8.22,8.18,5.12
0.42,Ideal,I,VS2,62.1,56.0,1081,4.78,4.85,2.99
0.73,Premium,D,SI1,61.7,55.0,2821,5.84,5.82,3.6
0.34,Ideal,E,VS1,62.1,56.0,1033,4.5,4.48,2.79
0.7,Very Good,E,SI2,59.8,58.0,2335,5.74,5.76,3.44
0.44,Ideal,E,VVS1,61.1,56.0,1924,4.91,4.94,3.01
1.03,Fair,G,SI2,65.7,58.0,3530,6.32,6.26,4.13
1.23,Very Good,H,SI1,63.0,55.0,5665,6.72,6.78,4.27
0.41,Very Good,D,SI2,62.7,58.0,683,4.75,4.78,2.99
0.3,Ideal,F,SI1,62.4,55.0,475,4.3,4.32,2.69
1.0,Good,H,SI1,56.8,65.0,4138,6.61,6.49,3.72
2.01,Fair,I,I1,55.9,64.0,5696,8.48,8.39,4.71
0.7,Ideal,J,SI1,62.1,54.0,1815,5.72,5.74,3.56
0.51,Good,H,SI2,63.7,61.0,964,4.99,4.96,3.17
0.36,Premium,H,VVS2,60.6,58.0,726,4.58,4.6,2.78
0.74,Ideal,F,VS2,61.9,57.0,3454,5.79,5.81,3.59
0.91,Good,G,VS1,63.4,54.0,4284,6.07,6.24,3.9
0.7,Very Good,G,VS2,63.5,57.0,2331,5.68,5.66,3.6
0.43,Very Good,E,I1,58.4,62.0,555,4.94,5.0,2.9
0.76,Ideal,G,VVS1,62.0,54.7,3671,5.83,5.87,3.62
0.7,Ideal,I,SI1,62.6,56.0,2187,5.66,5.69,3.55
2.01,Fair,E,SI2,62.1,66.0,14948,7.99,7.92,4.94
0.51,Ideal,E,VS2,62.6,55.0,1781,5.11,5.08,3.19
1.52,Premium,I,SI1,61.9,58.0,8631,7.42,7.37,4.58
1.2,Premium,E,VVS2,62.3,59.0,12787,6.83,6.79,4.24
0.33,Ideal,J,VS1,62.1,55.0,557,4.44,4.41,2.75
0.61,Premium,I,VS2,61.8,56.0,1438,5.44,5.41,3.35
0.57,Good,G,SI1,63.3,55.0,1364,5.29,5.32,3.36
0.9,Good,G,SI2,64.1,63.0,3246,6.02,5.99,3.85
1.01,Very Good,E,SI2,63.4,58.0,3801,6.43,6.34,4.05
0.58,Ideal,D,VS2,61.2,54.0,1889,5.4,5.42,3.31
0.32,Ideal,F,VS2,60.3,55.0,645,4.4,4.45,2.67
0.96,Ideal,G,SI1,62.6,57.0,4355,6.28,6.24,3.92
0.51,Ideal,G,VVS2,62.2,53.4,1859,5.11,5.15,3.19
0.34,Premium,G,VS2,61.1,60.0,596,4.51,4.53,2.76
0.43,Ideal,F,VS2,61.1,57.0,1066,4.88,4.91,2.99
0.7,Ideal,E,SI1,62.3,56.0,1758,5.68,5.62,3.52
0.9,Very Good,D,SI1,63.5,57.0,4304,6.15,6.11,3.89
0.58,Premium,E,SI1,60.6,56.0,1949,5.42,5.38,3.27
1.5,Very Good,F,VVS1,60.0,60.0,17279,7.36,7.44,4.44
0.31,Ideal,G,VS1,61.5,56.0,802,4.43,4.39,2.71
2.01,Very Good,H,VS1,63.5,53.0,15930,8.04,7.97,5.08
0.3,Very Good,H,VS1,63.2,59.0,639,4.31,4.27,2.71
0.5,Very Good,G,VVS1,63.3,56.0,2070,5.1,5.07,3.22
0.53,Ideal,F,VS2,61.8,55.0,1631,5.19,5.23,3.22
1.26,Ideal,G,VVS1,61.7,56.0,11218,6.96,6.98,4.3
0.57,Premium,I,SI2,62.1,60.0,1097,5.32,5.27,3.29
0.56,Ideal,I,VVS1,62.0,57.0,1580,5.29,5.33,3.29
0.31,Ideal,D,VS2,61.5,56.0,942,4.37,4.35,2.68
1.03,Premium,H,SI1,62.2,60.0,4843,6.4,6.43,3.99
1.02,Very Good,H,SI2,63.4,63.0,3713,6.36,6.32,4.02
0.42,Premium,D,SI1,62.8,58.0,1040,4.79,4.76,3.0
0.3,Premium,G,VS1,61.4,60.0,776,4.33,4.3,2.65
0.56,Ideal,G,VS2,61.0,57.0,1580,5.32,5.34,3.25
1.27,Ideal,H,SI1,60.1,58.0,6858,7.02,7.05,4.23
0.42,Ideal,E,VS2,62.2,55.0,958,4.79,4.83,2.99
1.33,Premium,F,SI2,60.4,60.0,4737,7.17,7.11,4.31
0.55,Ideal,F,VS1,61.9,56.0,1881,5.25,5.29,3.26
0.32,Ideal,D,SI2,61.4,56.0,477,4.43,4.46,2.73
0.7,Fair,H,VS2,65.0,56.0,2268,5.6,5.5,3.61
1.2,Premium,G,SI1,62.5,60.0,5868,6.74,6.68,4.21
1.23,Ideal,F,VS2,61.7,57.0,9547,6.94,6.9,4.27
0.38,Very Good,G,SI1,62.1,54.0,755,4.64,4.67,2.9
0.7,Very Good,F,SI1,61.6,55.0,2230,5.66,5.7,3.5
1.06,Ideal,G,VS2,61.1,57.0,6548,6.56,6.59,4.02
2.0,Premium,H,SI1,61.7,58.0,11200,7.82,7.77,4.81
1.63,Ideal,E,VS2,61.3,55.0,17825,7.6,7.63,4.67
0.54,Very Good,H,SI2,60.7,55.0,1194,5.31,5.34,3.23
2.01,Very Good,H,SI2,60.5,61.0,16140,8.09,8.14,4.91
0.66,Ideal,H,SI1,60.9,55.0,1780,5.63,5.7,3.45
1.04,Premium,D,VS1,62.3,59.0,8341,6.48,6.39,4.01
0.32,Ideal,G,VS1,60.9,56.0,645,4.41,4.45,2.7
0.32,Good,F,VS2,63.4,57.0,645,4.32,4.36,2.75
0.5,Premium,G,VS1,62.5,60.0,1583,5.13,5.08,3.19
0.23,Ideal,F,VS2,61.5,55.0,498,3.93,3.97,2.43
0.9,Premium,G,VS2,62.8,58.0,4137,6.14,6.09,3.84
1.24,Ideal,G,SI1,62.7,56.0,4916,6.89,6.85,4.31
0.35,Good,F,SI1,63.6,54.0,583,4.51,4.52,2.87
0.6,Premium,H,SI1,62.0,56.0,1433,5.44,5.4,3.36
1.08,Ideal,G,SI1,61.8,56.0,5256,6.55,6.58,4.06
0.38,Ideal,G,VS1,62.4,54.0,759,4.63,4.67,2.9
1.03,Very Good,G,VS2,62.3,57.0,6036,6.43,6.51,4.03
0.6,Ideal,E,SI2,62.5,57.0,1385,5.37,5.39,3.36
0.34,Premium,G,VVS1,61.5,59.0,1122,4.5,4.47,2.76
1.23,Very Good,F,VS1,59.3,59.0,10609,6.98,7.01,4.15
0.41,Fair,H,SI1,65.4,61.0,659,4.51,4.63,2.99
0.35,Ideal,E,SI1,62.3,56.0,614,4.53,4.56,2.83
0.42,Ideal,G,VVS1,62.0,56.0,1179,4.81,4.84,2.99
1.17,Ideal,F,SI1,61.1,56.0,6828,6.77,6.82,4.15
1.0,Premium,J,SI1,60.8,58.0,3712,6.39,6.44,3.9
0.32,Premium,E,VS2,59.3,58.0,580,4.45,4.49,2.65
0.34,Ideal,F,SI1,63.0,54.0,727,4.5,4.48,2.83
1.11,Ideal,I,VS1,63.0,56.0,5152,6.61,6.57,4.15
0.32,Ideal,G,VVS2,62.2,56.0,730,4.34,4.38,2.71
1.01,Very Good,G,VS2,61.4,59.0,5944,6.42,6.48,3.96
0.5,Very Good,D,VS2,63.3,58.0,1602,5.03,5.05,3.19
0.56,Ideal,G,SI2,61.0,57.0,1127,5.34,5.32,3.25
0.71,Good,I,VS1,63.6,56.0,2306,5.65,5.7,3.61
0.31,Ideal,G,VVS1,62.5,54.0,789,4.34,4.37,2.72
1.0,Very Good,G,VS2,61.8,59.0,5600,6.29,6.37,3.91
0.72,Ideal,I,VS2,61.1,56.0,2337,5.76,5.82,3.54
1.23,Ideal,H,SI2,61.4,54.0,5641,6.95,6.94,4.26
1.51,Ideal,H,SI1,62.4,57.0,9569,7.3,7.34,4.57
0.37,Premium,F,VS2,61.0,58.0,957,4.63,4.61,2.82
0.71,Ideal,F,SI1,61.5,56.0,2633,5.76,5.69,3.52
0.53,Good,H,VS1,57.6,64.0,1282,5.41,5.36,3.1
0.53,Ideal,F,VS2,61.5,55.0,1753,5.27,5.2,3.22
0.36,Ideal,H,VVS2,62.3,57.0,932,4.57,4.52,2.83
0.46,Premium,E,VS2,61.5,60.0,1173,4.95,4.91,3.03
0.41,Very Good,D,SI1,60.3,63.0,920,4.8,4.78,2.89
1.06,Very Good,I,VS1,58.5,58.3,5293,6.66,6.79,3.94
1.1,Very Good,D,SI2,61.6,57.0,5226,6.61,6.67,4.09
0.5,Very Good,D,SI2,63.4,59.0,1243,5.03,5.0,3.18
0.25,Ideal,G,VVS1,62.6,56.0,582,4.01,4.05,2.52
0.71,Ideal,E,VVS2,61.7,56.0,4447,5.78,5.8,3.57
0.39,Ideal,G,VVS2,61.1,56.0,974,4.7,4.72,2.88
0.35,Good,F,SI1,63.1,56.0,583,4.46,4.51,2.83
0.71,Premium,D,SI2,61.6,60.0,2317,5.7,5.64,3.49
1.15,Ideal,G,VS2,62.2,54.0,5008,6.74,6.65,4.17
0.3,Premium,F,VS2,62.2,58.0,776,4.31,4.28,2.67
0.96,Fair,H,SI2,67.6,63.0,2672,5.99,5.84,4.01
0.9,Very Good,I,SI2,60.9,63.0,2704,6.21,6.13,3.76
0.52,Ideal,G,VVS2,61.7,55.0,2338,5.21,5.23,3.22
0.35,Premium,E,SI1,61.2,58.0,788,4.59,4.53,2.79
0.4,Ideal,F,IF,62.3,57.0,1292,4.69,4.71,2.93
1.0,Very Good,E,SI2,63.5,56.0,4704,6.38,6.31,4.03
1.03,Ideal,F,VS1,60.7,56.0,7296,6.54,6.6,3.99
0.33,Ideal,I,SI1,61.0,57.0,463,4.45,4.47,2.72
1.52,Very Good,D,SI1,62.0,58.0,11595,7.37,7.4,4.58
0.28,Ideal,E,VS1,62.0,56.0,625,4.21,4.18,2.6
0.31,Fair,G,VVS2,65.5,58.0,629,4.25,4.24,2.78
0.21,Premium,E,SI2,61.9,56.0,394,3.84,3.82,2.37
1.01,Ideal,G,VS2,61.6,56.0,6353,6.46,6.43,3.97
0.31,Ideal,D,VS2,61.6,57.0,942,4.38,4.36,2.69
0.31,Premium,G,VS1,59.5,59.0,802,4.47,4.4,2.64
0.7,Fair,J,SI1,63.0,57.0,1723,5.55,5.6,3.51
0.71,Ideal,E,SI1,62.0,56.0,2308,5.72,5.77,3.56
0.97,Ideal,H,SI2,61.6,55.0,3694,6.37,6.32,3.91
0.3,Premium,G,VVS2,62.0,60.0,684,4.25,4.33,2.66
1.24,Very Good,F,VVS1,62.7,61.0,11716,6.75,6.84,4.26
2.02,Very Good,F,SI1,60.1,60.0,17658,8.21,8.29,4.96
0.71,Premium,I,VS2,62.7,59.0,2127,5.66,5.69,3.56
0.41,Ideal,F,IF,61.9,56.0,1439,4.77,4.79,2.96
1.62,Very Good,D,SI2,61.2,61.0,9034,7.53,7.6,4.63
0.62,Ideal,G,IF,61.8,56.0,3310,5.45,5.48,3.38
0.31,Ideal,D,SI1,62.4,56.0,571,4.33,4.35,2.71
1.07,Ideal,D,SI1,61.8,55.0,5767,6.54,6.59,4.06
1.0,Good,G,SI1,63.9,58.0,4218,6.26,6.32,4.02
0.58,Ideal,G,VVS2,61.8,56.0,2133,5.35,5.36,3.31
0.53,Ideal,G,IF,61.9,56.0,2247,5.18,5.22,3.21
1.21,Premium,D,VS1,62.6,56.0,10706,6.83,6.74,4.25
0.32,Ideal,H,IF,62.1,54.0,814,4.41,4.45,2.75
2.52,Fair,G,I1,66.9,57.0,10076,8.39,8.33,5.6
1.71,Very Good,F,VS2,63.5,59.0,13818,7.51,7.46,4.75
0.34,Ideal,H,VVS2,61.2,56.0,667,4.51,4.54,2.77
0.71,Very Good,D,SI1,63.1,56.0,2508,5.66,5.62,3.56
0.92,Premium,I,SI1,60.4,59.0,2730,6.31,6.24,3.79
0.35,Ideal,F,VVS1,60.6,56.0,994,4.58,4.59,2.78
1.13,Premium,F,IF,59.8,60.0,12549,6.82,6.76,4.06
1.53,Premium,I,VS2,62.0,58.0,10013,7.36,7.41,4.58
1.52,Premium,E,SI2,60.8,60.0,9193,7.42,7.36,4.49
0.3,Premium,I,VS1,62.0,58.0,608,4.3,4.25,2.65
1.57,Ideal,F,SI1,62.4,56.0,11523,7.46,7.41,4.64
0.41,Good,I,VVS2,63.9,55.0,827,4.71,4.74,3.02
0.3,Very Good,E,IF,61.8,54.0,957,4.34,4.37,2.69
0.54,Ideal,G,VVS2,62.1,56.0,1985,5.19,5.22,3.23
0.55,Very Good,D,SI1,63.1,56.0,1593,5.19,5.22,3.28
1.18,Premium,H,SI1,61.8,58.0,5696,6.74,6.79,4.18
0.72,Very Good,F,VVS2,63.6,59.0,3420,5.65,5.7,3.61
1.84,Premium,H,SI1,59.7,58.0,13905,8.01,7.98,4.77
2.18,Very Good,F,SI2,63.4,60.0,12099,8.2,8.17,5.19
0.44,Good,J,VS1,63.2,57.0,694,4.82,4.86,3.06
0.3,Good,F,VVS2,66.0,55.0,613,4.19,4.21,2.77
1.21,Ideal,I,VVS1,61.6,55.0,7086,6.88,6.8,4.21
0.34,Ideal,D,VVS1,61.7,57.0,1133,4.49,4.52,2.78
1.14,Ideal,H,SI1,62.2,57.0,4916,6.73,6.67,4.17
1.33,Premium,G,VS2,62.3,59.0,9682,7.02,6.97,4.36
1.14,Premium,H,VS2,60.2,58.0,6095,6.81,6.74,4.08
0.9,Good,E,SI1,63.9,57.0,4463,6.05,6.1,3.88
0.83,Premium,H,SI1,62.5,59.0,2825,6.02,5.95,3.74
1.12,Ideal,E,SI2,60.5,55.0,5000,6.73,6.79,4.09
0.91,Premium,E,VS1,62.8,60.0,4969,6.11,6.08,3.83
0.53,Very Good,D,VVS1,61.2,55.0,3307,5.21,5.26,3.21
1.04,Good,J,SI1,64.2,58.0,3407,6.42,6.34,4.1
0.33,Ideal,G,VVS1,61.1,56.0,838,4.47,4.5,2.74
1.21,Good,H,VS1,63.3,58.0,6748,6.72,6.77,4.27
0.59,Ideal,F,VVS2,61.7,56.0,2551,5.38,5.41,3.33
0.71,Ideal,H,VS1,61.8,55.0,3229,5.72,5.77,3.55
1.01,Premium,F,VS1,60.8,59.0,7017,6.45,6.41,3.91
